Day,Month,Hr,MinuteZone,MonthName,Space Name,Average of MaxOccupants,Average of Humid,Average of Noise,Average of CO2,Average of Presence,Average of Occupancy,Average of OccupancyPercentage,Average of Temperature_Ajusted,Average of VOC,Average of Lux,Average of Pressure
1,4,4,01-10,April,Collaborative Area,20.00,21.00,43.83,1348.00,0.00,0.00,0.00,25.836666666666662,144.00,2.00,1000.00
1,4,4,01-10,April,Common Area A,8.00,24.00,38.57,437.43,0.00,0.00,0.00,26.83428571428571,5.00,2.33,1000.00
1,4,4,01-10,April,Common Area B,16.00,20.00,40.50,518.00,0.00,0.00,0.00,25.403333333333332,17.00,2.00,1001.00
1,4,4,01-10,April,Common Area C,12.00,21.00,42.00,1342.50,0.00,0.00,0.00,24.665000000000003,143.50,3.25,1000.00
1,4,4,01-10,April,Dumyat,12.00,23.00,39.67,708.67,0.00,0.00,0.00,25.07166666666667,46.33,2.60,1000.00
1,4,4,01-10,April,Kitchen,14.00,23.00,44.50,434.00,0.00,,,25.180000000000003,4.50,2.50,1000.00
1,4,4,01-10,April,Library/Research,8.00,23.00,36.67,1088.00,0.00,0.00,0.00,22.94,104.00,1.80,1001.00
1,4,4,01-10,April,Lomond,6.00,22.17,34.50,620.33,0.00,0.00,0.00,25.155,33.33,1.20,1000.00
1,4,4,01-10,April,Macdui,6.00,24.00,37.50,548.67,0.00,0.00,0.00,24.68166666666667,22.33,2.00,1000.00
1,4,4,01-10,April,Nevis,12.00,21.00,37.50,630.67,0.00,0.00,0.00,25.71666666666667,34.67,1.00,1000.33
1,4,4,01-10,April,Reception,6.00,19.50,42.00,438.67,0.00,,,25.785,5.67,2.00,1000.00
1,4,4,01-10,April,Suilven,8.00,24.00,40.00,537.20,0.00,0.00,0.00,28.229999999999997,20.20,3.20,1001.00
1,4,4,11-20,April,Collaborative Area,20.00,21.00,43.88,1357.88,0.00,0.00,0.00,25.8925,145.25,2.00,1000.00
1,4,4,11-20,April,Common Area A,8.00,24.00,37.86,436.29,0.00,0.00,0.00,26.844285714285718,5.00,1.67,1000.00
1,4,4,11-20,April,Common Area B,16.00,20.00,40.00,509.75,0.00,0.00,0.00,25.4325,16.25,2.20,1000.38
1,4,4,11-20,April,Common Area C,12.00,21.00,41.75,1347.63,0.00,0.00,0.00,24.8125,144.25,3.25,1000.00
1,4,4,11-20,April,Dumyat,12.00,23.00,40.13,709.25,0.00,0.00,0.00,25.153750000000002,46.38,2.00,1000.00
1,4,4,11-20,April,Kitchen,14.00,23.00,44.57,433.71,0.00,,,24.944285714285716,4.43,2.17,1000.00
1,4,4,11-20,April,Library/Research,8.00,23.00,36.75,1079.88,0.00,0.00,0.00,22.947499999999994,102.75,1.83,1000.25
1,4,4,11-20,April,Lomond,6.00,22.25,34.75,631.00,0.00,0.00,0.00,25.10875,34.50,1.00,1000.00
1,4,4,11-20,April,Macdui,6.00,24.00,37.83,551.00,0.00,0.00,0.00,25.006666666666664,23.00,3.00,1000.00
1,4,4,11-20,April,Nevis,12.00,21.00,37.75,632.13,0.00,0.00,0.00,25.75375,34.88,1.43,1000.00
1,4,4,11-20,April,Reception,6.00,19.00,44.13,433.00,0.00,,,25.8075,4.75,2.43,1000.00
1,4,4,11-20,April,Suilven,8.00,24.00,41.25,533.50,0.00,0.00,0.00,28.28875,19.50,4.33,1001.00
1,4,4,21-30,April,Collaborative Area,20.00,21.00,43.50,1413.13,0.00,0.00,0.00,25.841250000000006,153.88,1.33,1000.00
1,4,4,21-30,April,Common Area A,8.00,24.00,37.88,436.25,0.00,0.00,0.00,26.8,5.00,2.33,1000.00
1,4,4,21-30,April,Common Area B,16.00,20.00,40.00,507.75,0.00,0.00,0.00,25.405,16.00,3.25,1000.00
1,4,4,21-30,April,Common Area C,12.00,21.00,41.50,1350.88,0.00,0.00,0.00,24.783749999999998,144.75,2.67,1000.00
1,4,4,21-30,April,Dumyat,12.00,23.00,39.38,713.50,0.00,0.00,0.00,25.07625,47.00,2.67,1000.00
1,4,4,21-30,April,Kitchen,14.00,23.00,44.00,428.25,0.00,,,24.76,4.00,4.00,1000.00
1,4,4,21-30,April,Library/Research,8.00,23.00,36.86,1075.00,0.00,0.00,0.00,22.942857142857143,102.00,1.80,1000.00
1,4,4,21-30,April,Lomond,6.00,22.25,35.25,643.00,0.00,0.00,0.00,25.127499999999998,36.75,1.50,999.38
1,4,4,21-30,April,Macdui,6.00,24.00,36.80,555.00,0.00,0.00,0.00,24.705999999999996,23.40,2.50,1000.00
1,4,4,21-30,April,Nevis,12.00,21.00,38.00,635.50,0.00,0.00,0.00,25.752499999999998,35.50,2.20,1000.00
1,4,4,21-30,April,Reception,6.00,19.00,43.38,425.50,0.00,,,25.87375,3.00,3.17,1000.00
1,4,4,21-30,April,Suilven,8.00,24.00,39.75,528.50,0.00,0.00,0.00,28.250000000000004,18.75,5.20,1000.00
1,4,4,31-40,April,Collaborative Area,20.00,21.00,43.83,1429.00,0.00,0.00,0.00,26.013333333333332,156.50,1.50,1000.00
1,4,4,31-40,April,Common Area A,8.00,24.00,36.83,436.00,0.00,0.00,0.00,26.736666666666668,5.00,3.33,999.67
1,4,4,31-40,April,Common Area B,16.00,20.00,39.67,508.00,0.00,0.00,0.00,25.411666666666672,16.00,1.50,1000.00
1,4,4,31-40,April,Common Area C,12.00,21.00,40.50,1348.17,0.00,0.00,0.00,24.77,144.33,2.60,999.83
1,4,4,31-40,April,Dumyat,12.00,23.00,39.83,709.00,0.00,0.00,0.00,25.15833333333333,46.33,3.60,1000.00
1,4,4,31-40,April,Kitchen,14.00,22.17,43.33,422.00,0.00,,,24.823333333333334,3.17,1.83,1000.00
1,4,4,31-40,April,Library/Research,8.00,23.00,36.50,1064.17,0.00,0.00,0.00,22.941666666666666,100.33,2.60,1000.00
1,4,4,31-40,April,Lomond,6.00,22.67,35.50,649.00,0.00,0.00,0.00,25.088333333333335,37.00,2.25,999.00
1,4,4,31-40,April,Macdui,6.00,24.00,39.17,559.33,0.00,0.00,0.00,24.893333333333334,23.83,1.80,1000.00
1,4,4,31-40,April,Nevis,12.00,21.00,39.33,639.67,0.00,0.00,0.00,25.68166666666666,36.33,2.40,1000.00
