Day,Month,Hr,MinuteZone,MonthName,Space Name,Average of MaxOccupants,Average of Humid,Average of Noise,Average of CO2,Average of Presence,Average of Occupancy,Average of OccupancyPercentage,Average of Temperature_Ajusted,Average of VOC,Average of Lux,Average of Pressure
3,8,4,01-10,August,Collaborative Area,20.00,29.38,43.88,1225.25,0.00,0.00,0.00,26.95125,125.50,2.25,1000.00
3,8,4,01-10,August,Common Area A,8.00,30.00,37.56,1541.00,0.00,0.00,0.00,29.16,173.67,2.00,999.33
3,8,4,01-10,August,Common Area B,16.00,27.00,40.00,1825.75,0.00,0.00,0.00,26.258750000000003,217.00,3.25,1000.00
3,8,4,01-10,August,Common Area C,12.00,26.00,38.00,2794.25,0.00,0.00,0.00,28.146250000000002,364.25,2.00,999.00
3,8,4,01-10,August,Dumyat,12.00,32.00,39.88,2279.38,0.00,0.00,0.00,25.606250000000003,285.88,1.88,1000.00
3,8,4,01-10,August,Kitchen,14.00,28.00,44.00,1842.00,0.00,,,29.293749999999996,219.25,3.50,1000.00
3,8,4,01-10,August,Lomond,6.00,32.00,35.25,990.25,0.00,0.00,0.00,26.835,89.50,2.25,999.00
3,8,4,01-10,August,Macdui,6.00,28.00,39.00,1366.63,0.00,0.00,0.00,26.692499999999995,147.00,30.88,1000.00
3,8,4,01-10,August,Nevis,12.00,28.00,38.13,1430.75,0.00,0.00,0.00,26.935000000000002,156.25,1.67,1000.00
3,8,4,01-10,August,Reception,6.00,26.00,42.00,1490.50,0.00,,,28.68125,165.50,2.40,1000.00
3,8,4,01-10,August,Suilven,8.00,31.00,36.63,841.63,0.00,0.00,0.00,29.083750000000002,66.63,2.20,1000.00
3,8,4,11-20,August,Collaborative Area,20.00,29.43,44.00,1230.57,0.00,0.00,0.00,26.944285714285716,126.14,2.00,1000.00
3,8,4,11-20,August,Common Area A,8.00,30.00,38.50,1553.33,0.00,0.00,0.00,29.171666666666667,175.67,1.75,999.33
3,8,4,11-20,August,Common Area B,16.00,27.00,40.00,1849.71,0.00,0.00,0.00,26.267142857142858,220.29,2.60,1000.00
3,8,4,11-20,August,Common Area C,12.00,26.00,38.71,2833.29,0.00,0.00,0.00,28.759999999999994,370.14,2.75,999.00
3,8,4,11-20,August,Dumyat,12.00,32.00,40.43,2164.00,0.00,0.00,0.00,25.604285714285716,268.00,2.00,1000.00
3,8,4,11-20,August,Kitchen,14.00,28.00,40.86,1851.14,0.00,,,29.29714285714286,220.57,2.00,1000.00
3,8,4,11-20,August,Lomond,6.00,32.00,35.33,1006.33,0.00,0.00,0.00,26.875,92.00,1.80,999.00
3,8,4,11-20,August,Macdui,6.00,28.00,39.71,1382.43,0.00,0.00,0.00,26.71285714285714,149.29,30.57,1000.00
3,8,4,11-20,August,Nevis,12.00,28.00,38.71,1455.71,0.00,0.00,0.00,26.944285714285712,160.29,1.33,1000.00
3,8,4,11-20,August,Reception,6.00,26.00,43.33,1508.83,0.00,,,28.646666666666665,168.50,2.80,1000.00
3,8,4,11-20,August,Suilven,8.00,31.00,35.71,848.43,0.00,0.00,0.00,29.06714285714286,67.71,3.67,1000.00
3,8,4,21-30,August,Collaborative Area,20.00,29.17,44.00,1232.67,0.00,0.00,0.00,26.973333333333333,126.33,2.75,1000.00
3,8,4,21-30,August,Common Area A,8.00,30.00,39.88,1567.25,0.00,0.00,0.00,29.25,177.75,2.40,999.88
3,8,4,21-30,August,Common Area B,16.00,27.00,40.14,1861.86,0.00,0.00,0.00,26.297142857142855,222.00,1.86,1000.00
3,8,4,21-30,August,Common Area C,12.00,26.00,41.57,2860.29,0.00,0.00,0.00,28.73,374.14,2.67,999.57
3,8,4,21-30,August,Dumyat,12.00,32.00,40.86,2191.71,0.00,0.00,0.00,25.618571428571425,272.43,2.67,1000.00
3,8,4,21-30,August,Kitchen,14.00,28.00,42.00,1859.43,0.00,,,29.285714285714285,221.71,2.50,1000.00
3,8,4,21-30,August,Lomond,6.00,32.00,35.00,1026.83,0.00,0.00,0.00,26.876666666666665,95.00,2.25,999.17
3,8,4,21-30,August,Macdui,6.00,28.00,38.86,1408.29,0.00,0.00,0.00,26.62571428571428,153.14,30.14,1000.00
3,8,4,21-30,August,Nevis,12.00,28.00,39.57,1481.43,0.00,0.00,0.00,26.90857142857143,164.43,1.75,1000.00
3,8,4,21-30,August,Reception,6.00,26.00,42.33,1520.50,0.00,,,28.576666666666664,170.33,1.67,1000.00
3,8,4,21-30,August,Suilven,8.00,31.00,37.29,860.14,0.00,0.00,0.00,29.067142857142862,69.71,4.00,1000.00
3,8,4,31-40,August,Collaborative Area,20.00,29.00,44.00,1240.00,0.00,0.00,0.00,26.976,127.00,1.25,1000.00
3,8,4,31-40,August,Common Area A,8.00,30.00,38.60,1589.80,0.00,0.00,0.00,29.242,180.80,2.67,1000.00
3,8,4,31-40,August,Common Area B,16.00,27.00,40.00,1887.00,0.00,0.00,0.00,26.278333333333332,226.00,3.67,1000.00
3,8,4,31-40,August,Common Area C,12.00,26.00,39.50,2910.83,0.00,0.00,0.00,28.71666666666667,381.67,2.00,1000.00
3,8,4,31-40,August,Dumyat,12.00,32.00,40.83,2201.67,0.00,0.00,0.00,25.596666666666668,274.00,2.40,1000.00
3,8,4,31-40,August,Kitchen,14.00,28.00,43.50,1876.00,0.00,,,29.291666666666668,224.00,3.00,1000.00
3,8,4,31-40,August,Lomond,6.00,32.00,35.00,1042.60,0.00,0.00,0.00,26.918,97.40,1.75,1000.00
3,8,4,31-40,August,Macdui,6.00,28.00,40.00,1424.67,0.00,0.00,0.00,26.88,155.33,30.00,1000.00
3,8,4,31-40,August,Nevis,12.00,28.00,41.17,1480.83,0.00,0.00,0.00,26.98833333333333,164.33,2.33,1000.00
3,8,4,31-40,August,Reception,6.00,26.00,42.17,1530.50,0.00,,,28.505,171.67,2.40,1000.00
3,8,4,31-40,August,Suilven,8.00,31.00,37.00,865.33,0.00,0.00,0.00,29.063333333333336,70.33,4.00,1000.00
3,8,4,41-50,August,Collaborative Area,20.00,29.43,44.00,1250.86,0.00,0.00,0.00,26.908571428571427,128.71,2.60,1000.00
3,8,4,41-50,August,Common Area A,8.00,30.00,39.63,1597.88,0.00,0.00,0.00,29.1625,181.75,2.00,1000.00
3,8,4,41-50,August,Common Area B,16.00,27.00,40.71,1905.57,0.00,0.00,0.00,26.267142857142858,228.86,2.40,1000.00
