Day,Month,Hr,MinuteZone,MonthName,Space Name,Average of MaxOccupants,Average of Humid,Average of Noise,Average of CO2,Average of Presence,Average of Occupancy,Average of OccupancyPercentage,Average of Temperature_Ajusted,Average of VOC,Average of Lux,Average of Pressure
1,12,4,01-10,December,Common Area A,8.00,25.00,37.60,838.00,0.00,0.00,0.00,26.371,66.00,2.43,1006.10
1,12,4,01-10,December,Common Area B,16.00,21.00,40.00,1620.10,0.00,0.00,0.00,24.66,185.20,2.29,1007.00
1,12,4,01-10,December,Common Area C,12.00,22.00,38.00,4427.90,0.00,0.00,0.00,25.613,613.20,2.33,1006.20
1,12,4,01-10,December,Dumyat,12.00,23.00,40.20,1379.70,0.00,0.00,0.00,23.772,148.70,3.17,1006.10
1,12,4,01-10,December,Kitchen,14.00,22.00,43.20,675.80,0.00,,,26.905,41.60,8.70,1006.30
1,12,4,01-10,December,Lomond,6.00,21.00,35.10,3248.00,0.00,0.00,0.00,25.056,433.60,1.67,1006.00
1,12,4,01-10,December,Macdui,6.00,24.00,38.56,1160.33,0.00,0.00,0.00,23.941111111111113,115.00,26.22,1006.56
1,12,4,01-10,December,Nevis,12.00,19.00,37.50,1253.40,0.00,0.00,0.00,25.955000000000002,129.60,2.67,1007.00
1,12,4,01-10,December,Reception,6.00,18.00,41.70,1286.40,0.00,,,26.889,134.40,12.70,1006.20
1,12,4,01-10,December,Suilven,8.00,23.30,36.60,1113.00,0.00,0.00,0.00,27.986,108.20,3.67,1007.00
1,12,4,11-20,December,Common Area A,8.00,25.00,37.70,838.00,0.00,0.00,0.00,26.484999999999996,66.00,2.38,1007.00
1,12,4,11-20,December,Common Area B,16.00,21.00,40.60,1434.80,0.00,0.00,0.00,24.638,157.00,2.14,1007.00
1,12,4,11-20,December,Common Area C,12.00,22.00,38.75,4379.50,0.00,0.00,0.00,25.60375,606.00,3.20,1007.00
1,12,4,11-20,December,Dumyat,12.00,23.00,40.40,1359.00,0.00,0.00,0.00,23.799,146.00,2.44,1007.00
