Day,Month,Hr,MinuteZone,MonthName,Space Name,Average of MaxOccupants,Average of Humid,Average of Noise,Average of CO2,Average of Presence,Average of Occupancy,Average of OccupancyPercentage,Average of Temperature_Ajusted,Average of VOC,Average of Lux,Average of Pressure
1,1,4,01-10,January,Common Area A,8.00,21.00,39.00,597.00,0.00,0.00,0.00,27.345,30.00,4.00,1010.00
1,1,4,01-10,January,Common Area B,16.00,17.00,40.00,659.00,0.00,0.00,0.00,25.42,39.00,1.33,1011.00
1,1,4,01-10,January,Common Area C,12.00,20.00,40.67,719.00,0.00,0.00,0.00,23.77,48.00,2.67,1010.00
1,1,4,01-10,January,Dumyat,12.00,20.00,41.33,618.00,0.00,0.00,0.00,23.286666666666665,32.67,4.00,1010.00
1,1,4,01-10,January,Kitchen,14.00,19.00,43.33,502.00,0.00,,,25.766666666666666,15.00,7.67,1010.00
1,1,4,01-10,January,Lomond,6.00,18.00,35.67,4255.33,0.00,0.00,0.00,25.096666666666668,587.00,3.00,1010.00
1,1,4,01-10,January,Macdui,6.00,19.00,40.00,614.00,0.00,0.00,0.00,23.543333333333333,32.33,2.33,1010.00
1,1,4,01-10,January,Nevis,12.00,15.00,38.00,752.00,0.00,0.00,0.00,26.725,53.00,9.00,1010.00
1,1,4,01-10,January,Reception,6.00,16.00,42.67,572.33,0.00,,,25.656666666666666,25.67,2.00,1010.00
1,1,4,01-10,January,Suilven,8.00,18.00,36.00,607.00,0.00,0.00,0.00,28.653333333333336,31.33,2.67,1011.00
1,1,4,11-20,January,Common Area A,8.00,21.00,37.50,595.25,0.00,0.00,0.00,27.32,29.50,1.75,1010.00
1,1,4,11-20,January,Common Area B,16.00,17.00,40.00,653.00,0.00,0.00,0.00,25.423333333333332,38.00,2.00,1011.00
1,1,4,11-20,January,Common Area C,12.00,20.00,42.33,710.33,0.00,0.00,0.00,23.8,46.67,2.67,1010.00
1,1,4,11-20,January,Dumyat,12.00,20.00,41.00,618.00,0.00,0.00,0.00,23.19333333333333,32.67,1.50,1010.00
1,1,4,11-20,January,Kitchen,14.00,19.00,45.33,497.33,0.00,,,25.74,14.33,4.67,1010.00
1,1,4,11-20,January,Lomond,6.00,18.00,37.33,4242.00,0.00,0.00,0.00,24.933333333333334,585.00,3.00,1010.00
1,1,4,11-20,January,Macdui,6.00,19.00,40.00,606.00,0.00,0.00,0.00,23.583333333333332,30.67,3.00,1010.00
1,1,4,11-20,January,Nevis,12.00,15.00,38.00,752.00,0.00,0.00,0.00,26.695,53.00,9.50,1010.00
1,1,4,11-20,January,Reception,6.00,16.00,43.00,569.00,0.00,,,25.659999999999997,25.00,2.67,1010.00
1,1,4,11-20,January,Suilven,8.00,18.00,38.00,597.00,0.00,0.00,0.00,28.59,30.00,1.50,1011.00
1,1,4,21-30,January,Common Area A,8.00,21.00,38.67,590.00,0.00,0.00,0.00,27.293333333333333,28.00,2.00,1010.00
1,1,4,21-30,January,Common Area B,16.00,17.00,40.67,639.00,0.00,0.00,0.00,25.41,36.00,3.00,1011.00
1,1,4,21-30,January,Common Area C,12.00,20.00,40.00,697.00,0.00,0.00,0.00,23.563333333333333,44.67,4.00,1010.00
1,1,4,21-30,January,Dumyat,12.00,20.00,40.67,614.00,0.00,0.00,0.00,23.25333333333333,32.00,4.00,1010.00
1,1,4,21-30,January,Kitchen,14.00,19.00,43.50,493.50,0.00,,,25.71,14.00,6.50,1010.00
1,1,4,21-30,January,Lomond,6.00,18.00,36.00,4231.33,0.00,0.00,0.00,24.993333333333336,583.33,3.00,1010.00
1,1,4,21-30,January,Macdui,6.00,19.00,37.67,600.67,0.00,0.00,0.00,23.159999999999997,29.67,3.50,1010.00
1,1,4,21-30,January,Nevis,12.00,15.00,38.00,741.00,0.00,0.00,0.00,26.71666666666667,51.67,8.00,1010.00
1,1,4,21-30,January,Reception,6.00,16.00,44.00,556.00,0.00,,,25.686666666666667,23.00,1.50,1010.00
1,1,4,21-30,January,Suilven,8.00,18.00,35.00,587.50,0.00,0.00,0.00,28.455,28.50,3.00,1011.00
1,1,4,31-40,January,Common Area A,8.00,21.00,38.33,581.33,0.00,0.00,0.00,27.25,27.33,1.67,1010.00
1,1,4,31-40,January,Common Area B,16.00,17.00,40.33,634.00,0.00,0.00,0.00,25.41,35.33,1.00,1011.00
1,1,4,31-40,January,Common Area C,12.00,20.00,40.00,682.00,0.00,0.00,0.00,23.5,42.00,2.33,1010.00
1,1,4,31-40,January,Dumyat,12.00,20.00,41.67,606.67,0.00,0.00,0.00,23.126666666666665,30.67,1.00,1010.00
1,1,4,31-40,January,Kitchen,14.00,19.00,43.33,492.00,0.00,,,25.75,14.00,6.33,1010.00
