Day,Month,Hr,MinuteZone,MonthName,Space Name,Average of MaxOccupants,Average of Humid,Average of Noise,Average of CO2,Average of Presence,Average of Occupancy,Average of OccupancyPercentage,Average of Temperature_Ajusted,Average of VOC,Average of Lux,Average of Pressure
1,7,4,01-10,July,Collaborative Area,20.00,28.00,44.00,1436.40,0.00,0.00,0.00,26.863,157.60,1.89,999.00
1,7,4,01-10,July,Common Area A,8.00,29.80,40.40,593.00,0.00,0.00,0.00,28.714000000000006,29.00,1.75,998.40
1,7,4,01-10,July,Common Area B,16.00,26.00,41.40,1285.80,0.00,0.00,0.00,26.29,134.30,2.88,999.00
1,7,4,01-10,July,Common Area C,12.00,29.00,38.40,1612.20,0.00,0.00,0.00,25.988999999999997,184.40,3.50,998.00
1,7,4,01-10,July,Dumyat,12.00,27.00,41.20,2185.40,0.00,0.00,0.00,25.615,271.80,4.00,998.80
1,7,4,01-10,July,Kitchen,14.00,25.00,44.50,1105.00,0.00,,,30.009999999999998,106.60,8.90,999.00
1,7,4,01-10,July,Lomond,6.00,30.00,35.40,854.70,0.00,0.00,0.00,26.028999999999996,68.60,3.80,998.00
1,7,4,01-10,July,Macdui,6.00,28.00,40.40,1035.80,0.00,0.00,0.00,25.915,96.30,2.38,999.00
1,7,4,01-10,July,Nevis,12.00,23.00,39.80,1103.20,0.00,0.00,0.00,27.915,107.00,10.50,999.00
1,7,4,01-10,July,Reception,6.00,23.00,42.90,1972.70,0.00,,,29.577999999999996,239.20,13.10,999.00
1,7,4,01-10,July,Suilven,8.00,28.89,36.89,1348.78,0.00,0.00,0.00,28.873333333333335,144.22,4.33,999.00
1,7,4,11-20,July,Collaborative Area,20.00,28.00,44.00,1475.56,0.00,0.00,0.00,26.92111111111111,163.00,2.43,999.00
1,7,4,11-20,July,Common Area A,8.00,30.00,39.44,601.00,0.00,0.00,0.00,28.793333333333333,29.89,2.00,998.67
1,7,4,11-20,July,Common Area B,16.00,26.00,40.63,1308.75,0.00,0.00,0.00,26.26625,137.88,2.83,999.00
1,7,4,11-20,July,Common Area C,12.00,29.00,38.11,1610.78,0.00,0.00,0.00,25.891111111111112,184.22,3.78,998.00
1,7,4,11-20,July,Dumyat,12.00,27.00,40.67,2202.33,0.00,0.00,0.00,25.653333333333332,274.33,2.80,998.89
1,7,4,11-20,July,Kitchen,14.00,25.00,44.00,1122.78,0.00,,,30.005555555555556,109.33,8.56,998.89
1,7,4,11-20,July,Lomond,6.00,30.00,35.25,853.25,0.00,0.00,0.00,26.052500000000002,68.25,4.50,998.00
1,7,4,11-20,July,Macdui,6.00,28.00,40.33,1051.44,0.00,0.00,0.00,25.794444444444444,99.00,2.14,999.00
1,7,4,11-20,July,Nevis,12.00,23.00,40.00,1115.22,0.00,0.00,0.00,27.866666666666667,108.89,10.33,999.00
1,7,4,11-20,July,Reception,6.00,23.00,42.00,2002.78,0.00,,,29.492222222222225,243.78,13.11,999.00
1,7,4,11-20,July,Suilven,8.00,29.00,36.89,1341.67,0.00,0.00,0.00,28.86444444444444,143.00,4.17,999.00
1,7,4,21-30,July,Collaborative Area,20.00,28.00,44.00,1508.40,0.00,0.00,0.00,26.869,168.20,3.17,999.00
1,7,4,21-30,July,Common Area A,8.00,30.00,39.20,602.30,0.00,0.00,0.00,28.774,30.10,2.83,998.90
1,7,4,21-30,July,Common Area B,16.00,26.00,40.90,1340.30,0.00,0.00,0.00,26.274,142.40,2.25,999.00
1,7,4,21-30,July,Common Area C,12.00,29.00,38.20,1628.60,0.00,0.00,0.00,25.859,186.80,3.70,998.50
1,7,4,21-30,July,Dumyat,12.00,27.00,40.80,2209.80,0.00,0.00,0.00,25.623,275.40,3.00,999.00
1,7,4,21-30,July,Kitchen,14.00,25.00,44.10,1137.00,0.00,,,30.064999999999998,112.00,8.60,999.00
1,7,4,21-30,July,Lomond,6.00,30.11,35.33,863.89,0.00,0.00,0.00,26.046666666666667,70.11,3.89,998.00
1,7,4,21-30,July,Macdui,6.00,28.00,39.30,1066.30,0.00,0.00,0.00,25.887,101.30,2.13,999.00
1,7,4,21-30,July,Nevis,12.00,23.00,39.70,1127.20,0.00,0.00,0.00,27.901999999999997,110.60,10.30,999.00
1,7,4,21-30,July,Reception,6.00,23.00,42.00,2029.80,0.00,,,29.315000000000005,248.00,12.50,999.00
1,7,4,21-30,July,Suilven,8.00,29.00,36.10,1336.20,0.00,0.00,0.00,28.846999999999998,142.10,4.13,999.00
1,7,4,31-40,July,Collaborative Area,20.00,27.80,44.00,1522.00,0.00,0.00,0.00,26.818,170.20,2.00,999.00
1,7,4,31-40,July,Common Area A,8.00,30.00,39.70,604.70,0.00,0.00,0.00,28.74,30.90,2.86,999.00
1,7,4,31-40,July,Common Area B,16.00,26.00,40.90,1377.40,0.00,0.00,0.00,26.287,148.20,2.44,999.00
1,7,4,31-40,July,Common Area C,12.00,29.00,38.40,1646.30,0.00,0.00,0.00,25.785000000000004,189.70,3.70,998.60
1,7,4,31-40,July,Dumyat,12.00,27.00,40.78,2242.78,0.00,0.00,0.00,25.66666666666667,279.89,2.43,998.89
1,7,4,31-40,July,Kitchen,14.00,25.00,44.33,1141.44,0.00,,,30.11111111111111,112.44,8.67,998.89
1,7,4,31-40,July,Lomond,6.00,30.10,35.30,854.40,0.00,0.00,0.00,26.053999999999995,68.80,3.90,998.00
1,7,4,31-40,July,Macdui,6.00,28.00,40.50,1077.60,0.00,0.00,0.00,25.910999999999994,102.80,2.25,999.00
1,7,4,31-40,July,Nevis,12.00,23.00,40.40,1138.40,0.00,0.00,0.00,27.925,112.20,10.30,999.00
1,7,4,31-40,July,Reception,6.00,23.00,43.40,2018.70,0.00,,,29.725,246.50,12.60,999.00
1,7,4,31-40,July,Suilven,8.00,29.00,37.33,1324.78,0.00,0.00,0.00,28.88555555555556,140.11,3.43,999.00
1,7,4,41-50,July,Collaborative Area,20.00,28.00,43.89,1498.22,0.00,0.00,0.00,26.96777777777778,166.67,1.44,999.00
1,7,4,41-50,July,Common Area A,8.00,30.00,40.56,607.67,0.00,0.00,0.00,28.708888888888893,31.33,2.00,998.67
1,7,4,41-50,July,Common Area B,16.00,26.00,41.33,1399.67,0.00,0.00,0.00,26.297777777777775,151.33,2.71,999.00
1,7,4,41-50,July,Common Area C,12.00,29.00,38.11,1661.11,0.00,0.00,0.00,25.903333333333332,191.67,3.56,998.00
1,7,4,41-50,July,Dumyat,12.00,27.00,41.33,2256.11,0.00,0.00,0.00,25.625555555555554,281.89,1.89,998.67
1,7,4,41-50,July,Kitchen,14.00,25.00,44.33,1147.00,0.00,,,30.085555555555555,113.00,8.56,998.67
1,7,4,41-50,July,Lomond,6.00,30.44,35.22,847.44,0.00,0.00,0.00,26.041111111111107,67.33,4.11,998.00
1,7,4,41-50,July,Macdui,6.00,28.00,39.33,1097.67,0.00,0.00,0.00,25.768888888888895,106.22,2.43,999.00
1,7,4,41-50,July,Nevis,12.00,23.00,40.56,1150.67,0.00,0.00,0.00,27.976666666666667,114.00,10.33,999.00
