Day,Month,Hr,MinuteZone,MonthName,Space Name,Average of MaxOccupants,Average of Humid,Average of Noise,Average of CO2,Average of Presence,Average of Occupancy,Average of OccupancyPercentage,Average of Temperature_Ajusted,Average of VOC,Average of Lux,Average of Pressure
1,6,4,01-10,June,Collaborative Area,20.00,26.67,44.00,909.56,0.00,0.00,0.00,25.143333333333338,76.89,1.75,1008.00
1,6,4,01-10,June,Common Area A,8.00,28.00,38.56,460.67,0.00,0.00,0.00,27.67,8.67,2.33,1007.00
1,6,4,01-10,June,Common Area B,16.00,25.00,39.71,843.00,0.00,0.00,0.00,25.44857142857143,67.14,2.33,1008.00
1,6,4,01-10,June,Common Area C,12.00,26.00,37.89,2087.56,0.00,0.00,0.00,25.444444444444446,256.44,4.00,1007.00
1,6,4,01-10,June,Dumyat,12.00,27.22,40.11,1096.33,0.00,0.00,0.00,24.727777777777778,105.89,2.33,1007.00
1,6,4,01-10,June,Kitchen,14.00,29.00,46.44,664.22,0.00,,,29.38111111111111,39.89,36.78,1007.44
1,6,4,01-10,June,Library/Research,8.00,24.00,36.22,1588.11,0.00,0.00,0.00,24.59222222222222,180.78,1.29,1008.00
1,6,4,01-10,June,Lomond,6.00,25.00,35.25,750.50,0.00,0.00,0.00,26.020000000000003,53.00,5.13,1007.00
1,6,4,01-10,June,Macdui,6.00,25.00,39.00,572.56,0.00,0.00,0.00,26.34666666666667,25.89,2.22,1007.00
1,6,4,01-10,June,Nevis,12.00,23.00,37.89,693.00,0.00,0.00,0.00,27.02,44.00,8.89,1008.00
1,6,4,01-10,June,Reception,6.00,22.00,42.00,933.22,0.00,,,28.281111111111116,80.78,14.00,1007.33
1,6,4,01-10,June,Suilven,8.00,29.00,41.67,641.00,0.00,0.00,0.00,28.27777777777778,36.67,3.29,1008.00
1,6,4,11-20,June,Collaborative Area,20.00,27.00,44.50,909.90,0.00,0.00,0.00,25.208999999999996,76.90,2.50,1008.00
1,6,4,11-20,June,Common Area A,8.00,28.00,38.70,462.30,0.00,0.00,0.00,27.701000000000004,8.90,2.67,1007.00
1,6,4,11-20,June,Common Area B,16.00,25.00,40.44,846.89,0.00,0.00,0.00,25.474444444444444,67.67,2.29,1008.00
1,6,4,11-20,June,Common Area C,12.00,26.00,38.00,2108.00,0.00,0.00,0.00,25.314444444444444,260.00,3.78,1007.00
1,6,4,11-20,June,Dumyat,12.00,27.40,41.50,1102.40,0.00,0.00,0.00,24.725,106.80,2.20,1007.20
1,6,4,11-20,June,Kitchen,14.00,29.00,44.90,672.60,0.00,,,29.387999999999998,41.00,37.20,1008.00
1,6,4,11-20,June,Library/Research,8.00,24.00,35.70,1608.60,0.00,0.00,0.00,24.585,183.60,2.00,1008.00
1,6,4,11-20,June,Lomond,6.00,25.00,35.11,770.11,0.00,0.00,0.00,26.00555555555556,55.89,4.89,1007.00
1,6,4,11-20,June,Macdui,6.00,25.00,37.90,578.30,0.00,0.00,0.00,26.046000000000003,27.00,2.00,1007.60
1,6,4,11-20,June,Nevis,12.00,23.00,38.00,697.00,0.00,0.00,0.00,27.078000000000003,44.50,8.60,1008.00
1,6,4,11-20,June,Reception,6.00,22.00,41.90,978.00,0.00,,,28.101,87.30,13.70,1007.90
1,6,4,11-20,June,Suilven,8.00,29.00,40.00,647.00,0.00,0.00,0.00,28.154999999999994,37.50,3.11,1008.00
1,6,4,21-30,June,Collaborative Area,20.00,27.00,44.00,908.00,0.00,0.00,0.00,25.10222222222222,76.67,2.83,1008.00
1,6,4,21-30,June,Common Area A,8.00,28.00,39.22,465.00,0.00,0.00,0.00,27.69222222222222,9.22,3.00,1007.00
1,6,4,21-30,June,Common Area B,16.00,25.00,41.00,854.00,0.00,0.00,0.00,25.431111111111107,68.56,3.20,1008.00
1,6,4,21-30,June,Common Area C,12.00,26.00,38.00,2119.56,0.00,0.00,0.00,25.33,261.78,4.11,1007.00
1,6,4,21-30,June,Dumyat,12.00,27.00,41.56,1112.33,0.00,0.00,0.00,24.705555555555556,108.33,2.11,1007.00
1,6,4,21-30,June,Kitchen,14.00,28.11,43.78,686.33,0.00,,,29.41333333333333,42.89,37.44,1007.67
1,6,4,21-30,June,Library/Research,8.00,24.00,36.00,1624.89,0.00,0.00,0.00,24.57555555555555,186.22,1.14,1008.00
1,6,4,21-30,June,Lomond,6.00,25.00,35.44,789.00,0.00,0.00,0.00,26.001111111111115,58.67,4.56,1007.00
1,6,4,21-30,June,Macdui,6.00,25.00,40.33,582.67,0.00,0.00,0.00,26.230000000000004,27.67,2.00,1007.11
1,6,4,21-30,June,Nevis,12.00,23.00,38.00,704.56,0.00,0.00,0.00,27.07,45.89,9.33,1008.00
