Day,Month,Hr,MinuteZone,MonthName,Space Name,Average of MaxOccupants,Average of Humid,Average of Noise,Average of CO2,Average of Presence,Average of Occupancy,Average of OccupancyPercentage,Average of Temperature_Ajusted,Average of VOC,Average of Lux,Average of Pressure
2,3,4,01-10,March,Collaborative Area,20.00,19.00,43.90,1463.80,0.00,0.00,0.00,24.125999999999998,161.40,2.38,1012.30
2,3,4,01-10,March,Common Area A,8.00,22.00,46.10,732.20,0.00,0.00,0.00,25.207,49.90,3.40,1012.00
2,3,4,01-10,March,Common Area B,16.00,18.10,43.50,858.30,0.00,0.00,0.00,23.740000000000002,69.20,3.50,1013.00
2,3,4,01-10,March,Common Area C,12.00,19.00,39.10,1490.10,0.00,0.00,0.00,22.931,165.20,4.10,1012.00
2,3,4,01-10,March,Dumyat,12.00,21.00,40.20,806.20,0.00,0.00,0.00,22.976,61.20,2.13,1012.00
2,3,4,01-10,March,Kitchen,14.00,21.00,38.20,709.70,0.00,,,26.221000000000004,46.40,2.75,1012.00
2,3,4,01-10,March,Library/Research,8.00,19.00,39.00,1132.11,0.00,0.00,0.00,22.353333333333328,110.89,1.29,1013.00
2,3,4,01-10,March,Lomond,6.00,19.00,35.56,1170.22,0.00,0.00,0.00,24.230000000000004,116.78,3.67,1012.00
2,3,4,01-10,March,Macdui,6.00,21.00,40.30,870.70,0.00,0.00,0.00,22.570999999999998,71.10,3.33,1012.00
2,3,4,01-10,March,Nevis,12.00,16.00,38.30,1037.20,0.00,0.00,0.00,24.991999999999997,96.40,2.20,1012.90
2,3,4,01-10,March,Reception,6.00,17.00,43.11,966.78,0.00,,,25.522222222222226,85.78,2.80,1012.00
2,3,4,01-10,March,Suilven,8.00,21.00,42.50,1430.33,0.00,0.00,0.00,26.703333333333337,156.50,3.80,1013.00
2,3,4,11-20,March,Collaborative Area,20.00,19.00,44.00,1471.30,0.00,0.00,0.00,24.387999999999998,162.60,2.00,1012.50
2,3,4,11-20,March,Common Area A,8.00,22.00,46.56,733.44,0.00,0.00,0.00,25.105555555555554,50.11,2.00,1012.00
2,3,4,11-20,March,Common Area B,16.00,18.60,42.00,859.60,0.00,0.00,0.00,23.741999999999997,69.40,3.14,1013.00
2,3,4,11-20,March,Common Area C,12.00,19.00,39.50,1498.90,0.00,0.00,0.00,22.935,166.80,4.00,1012.00
2,3,4,11-20,March,Dumyat,12.00,21.00,40.70,811.00,0.00,0.00,0.00,22.880000000000003,62.00,2.33,1012.00
2,3,4,11-20,March,Kitchen,14.00,21.00,39.80,717.00,0.00,,,26.174,48.00,2.20,1012.00
2,3,4,11-20,March,Library/Research,8.00,19.00,37.11,1143.67,0.00,0.00,0.00,22.345555555555553,112.44,2.40,1013.00
2,3,4,11-20,March,Lomond,6.00,19.00,35.30,1172.00,0.00,0.00,0.00,24.261000000000003,117.00,3.60,1012.00
2,3,4,11-20,March,Macdui,6.00,21.00,38.70,870.70,0.00,0.00,0.00,22.331000000000003,71.10,3.00,1012.00
2,3,4,11-20,March,Nevis,12.00,16.00,37.90,1024.80,0.00,0.00,0.00,24.981,94.60,1.43,1013.00
2,3,4,11-20,March,Reception,6.00,17.00,41.00,971.40,0.00,,,25.427999999999997,86.30,1.80,1012.00
2,3,4,11-20,March,Suilven,8.00,21.00,39.57,1442.71,0.00,0.00,0.00,26.704285714285714,158.14,3.40,1013.00
2,3,4,21-30,March,Collaborative Area,20.00,19.00,43.10,1487.50,0.00,0.00,0.00,24.184999999999995,165.00,1.89,1013.00
2,3,4,21-30,March,Common Area A,8.00,22.00,47.44,729.00,0.00,0.00,0.00,25.115555555555552,49.33,1.88,1012.00
2,3,4,21-30,March,Common Area B,16.00,19.00,42.00,855.40,0.00,0.00,0.00,23.745,68.80,2.33,1013.00
2,3,4,21-30,March,Common Area C,12.00,19.00,42.44,1506.22,0.00,0.00,0.00,22.926666666666666,167.89,3.78,1012.00
2,3,4,21-30,March,Dumyat,12.00,21.00,40.50,816.40,0.00,0.00,0.00,22.867,62.60,2.33,1012.20
2,3,4,21-30,March,Kitchen,14.00,21.00,42.60,717.00,0.00,,,26.183,48.00,2.88,1013.00
2,3,4,21-30,March,Library/Research,8.00,19.00,37.00,1154.25,0.00,0.00,0.00,22.34625,114.25,1.71,1013.00
