Day,Month,Hr,MinuteZone,MonthName,Space Name,Average of MaxOccupants,Average of Humid,Average of Noise,Average of CO2,Average of Presence,Average of Occupancy,Average of OccupancyPercentage,Average of Temperature_Ajusted,Average of VOC,Average of Lux,Average of Pressure
1,5,4,01-10,May,Collaborative Area,20.00,24.00,44.00,1674.00,0.00,0.00,0.00,25.995555555555555,193.33,2.60,1005.44
1,5,4,01-10,May,Common Area A,8.00,26.11,38.22,849.00,0.00,0.00,0.00,27.768888888888892,67.67,2.14,1005.00
1,5,4,01-10,May,Common Area B,16.00,23.00,40.56,829.00,0.00,0.00,0.00,26.283333333333335,64.67,3.20,1006.00
1,5,4,01-10,May,Common Area C,12.00,23.00,38.33,2259.00,0.00,0.00,0.00,25.342222222222222,283.00,1.67,1005.00
1,5,4,01-10,May,Dumyat,12.00,25.00,40.33,5147.00,0.00,0.00,0.00,25.58888888888889,723.00,2.56,1005.00
1,5,4,01-10,May,Kitchen,14.00,25.00,39.88,674.63,0.00,,,26.330000000000002,41.13,3.29,1005.00
1,5,4,01-10,May,Library/Research,8.00,24.00,36.11,902.89,0.00,0.00,0.00,23.932222222222226,76.33,1.25,1006.00
1,5,4,01-10,May,Lomond,6.00,23.00,35.38,1276.75,0.00,0.00,0.00,26.1725,132.75,1.33,1005.00
1,5,4,01-10,May,Macdui,6.00,24.44,39.78,1008.33,0.00,0.00,0.00,26.317777777777778,92.22,29.89,1005.00
1,5,4,01-10,May,Nevis,12.00,20.00,41.00,1197.00,0.00,0.00,0.00,28.03555555555555,120.56,8.44,1005.00
1,5,4,01-10,May,Reception,6.00,21.00,41.13,1448.25,0.00,,,27.986250000000002,159.38,10.38,1005.00
1,5,4,01-10,May,Suilven,8.00,25.00,39.67,780.22,0.00,0.00,0.00,29.008888888888887,57.33,3.50,1006.00
1,5,4,11-20,May,Collaborative Area,20.00,24.00,44.00,1704.67,0.00,0.00,0.00,25.990000000000002,198.33,2.43,1005.11
1,5,4,11-20,May,Common Area A,8.00,26.00,38.89,855.00,0.00,0.00,0.00,27.740000000000002,69.00,2.00,1005.00
1,5,4,11-20,May,Common Area B,16.00,23.00,40.78,835.56,0.00,0.00,0.00,26.292222222222218,66.00,2.57,1006.00
1,5,4,11-20,May,Common Area C,12.00,23.00,38.33,2283.89,0.00,0.00,0.00,25.33888888888889,286.56,2.38,1005.00
1,5,4,11-20,May,Dumyat,12.00,25.00,40.44,5116.00,0.00,0.00,0.00,25.603333333333335,718.33,2.33,1005.00
1,5,4,11-20,May,Kitchen,14.00,25.00,41.11,675.67,0.00,,,26.326666666666668,41.33,3.22,1005.00
1,5,4,11-20,May,Library/Research,8.00,24.00,36.44,906.00,0.00,0.00,0.00,23.921111111111113,77.00,1.29,1006.00
