Day,Month,Hr,MinuteZone,MonthName,Space Name,Average of MaxOccupants,Average of Humid,Average of Noise,Average of CO2,Average of Presence,Average of Occupancy,Average of OccupancyPercentage,Average of Temperature_Ajusted,Average of VOC,Average of Lux,Average of Pressure
2,11,4,01-10,November,Common Area A,8.00,29.00,39.67,765.00,0.00,0.00,0.00,27.905555555555555,55.00,3.20,1008.44
2,11,4,01-10,November,Common Area B,16.00,26.00,40.67,1382.67,0.00,0.00,0.00,25.41111111111111,149.00,3.40,1009.00
2,11,4,01-10,November,Common Area C,12.00,25.00,37.56,1790.56,0.00,0.00,0.00,26.65777777777778,211.11,3.22,1008.67
2,11,4,01-10,November,Dumyat,12.00,27.00,40.56,1095.11,0.00,0.00,0.00,25.67444444444444,105.78,2.25,1008.89
2,11,4,01-10,November,Kitchen,14.00,25.00,40.78,812.33,0.00,,,28.28111111111111,62.67,3.33,1009.00
2,11,4,01-10,November,Lomond,6.00,28.00,35.63,1468.63,0.00,0.00,0.00,26.175000000000004,162.38,5.88,1008.00
2,11,4,01-10,November,Macdui,6.00,29.00,38.11,1318.67,0.00,0.00,0.00,24.825555555555557,139.33,2.38,1009.00
2,11,4,01-10,November,Nevis,12.00,23.00,39.00,838.67,0.00,0.00,0.00,27.06,66.33,3.78,1009.00
2,11,4,01-10,November,Reception,6.00,22.33,42.44,908.11,0.00,,,28.685555555555556,77.11,2.38,1009.00
2,11,4,01-10,November,Suilven,8.00,28.00,36.25,1273.88,0.00,0.00,0.00,28.89375,132.38,3.67,1009.00
2,11,4,11-20,November,Common Area A,8.00,30.00,38.33,767.67,0.00,0.00,0.00,27.96222222222222,55.67,2.57,1009.00
2,11,4,11-20,November,Common Area B,16.00,26.00,39.22,1395.22,0.00,0.00,0.00,25.423333333333332,150.89,2.57,1009.00
2,11,4,11-20,November,Common Area C,12.00,25.00,37.63,1805.00,0.00,0.00,0.00,26.977500000000003,213.75,3.75,1009.00
2,11,4,11-20,November,Dumyat,12.00,27.00,39.63,1108.63,0.00,0.00,0.00,25.68125,107.75,2.75,1009.00
2,11,4,11-20,November,Kitchen,14.00,25.00,40.89,821.11,0.00,,,28.285555555555554,63.56,2.60,1009.00
2,11,4,11-20,November,Lomond,6.00,28.00,35.44,1490.56,0.00,0.00,0.00,26.18,165.56,5.89,1008.00
2,11,4,11-20,November,Macdui,6.00,29.00,38.89,1342.00,0.00,0.00,0.00,25.087777777777777,142.67,2.50,1009.00
2,11,4,11-20,November,Nevis,12.00,23.00,39.33,849.78,0.00,0.00,0.00,27.07333333333333,68.11,3.22,1009.00
2,11,4,11-20,November,Reception,6.00,23.00,41.33,914.00,0.00,,,28.568888888888896,78.00,2.11,1009.00
2,11,4,11-20,November,Suilven,8.00,28.00,36.78,1293.00,0.00,0.00,0.00,28.928888888888885,135.56,3.57,1009.00
2,11,4,21-30,November,Common Area A,8.00,30.00,39.00,780.80,0.00,0.00,0.00,27.857000000000006,57.90,1.70,1009.00
2,11,4,21-30,November,Common Area B,16.00,26.00,39.80,1416.90,0.00,0.00,0.00,25.429,154.10,1.70,1009.00
2,11,4,21-30,November,Common Area C,12.00,25.00,38.00,1817.25,0.00,0.00,0.00,27.21,215.50,3.00,1009.00
2,11,4,21-30,November,Dumyat,12.00,27.00,41.00,1131.29,0.00,0.00,0.00,25.662857142857142,110.86,3.75,1009.00
2,11,4,21-30,November,Kitchen,14.00,25.00,41.90,829.20,0.00,,,28.337,64.80,2.14,1009.00
2,11,4,21-30,November,Lomond,6.00,28.50,35.50,1443.00,0.00,0.00,0.00,26.191000000000003,158.40,5.60,1008.10
2,11,4,21-30,November,Macdui,6.00,29.00,38.30,1362.20,0.00,0.00,0.00,24.918,146.20,3.50,1009.00
2,11,4,21-30,November,Nevis,12.00,23.00,40.20,867.30,0.00,0.00,0.00,27.105999999999995,70.90,3.00,1009.00
2,11,4,21-30,November,Reception,6.00,23.00,41.30,930.20,0.00,,,28.361,80.60,3.00,1009.00
2,11,4,21-30,November,Suilven,8.00,28.00,35.90,1314.00,0.00,0.00,0.00,28.979000000000003,138.80,3.13,1009.00
2,11,4,31-40,November,Common Area A,8.00,30.00,38.50,790.80,0.00,0.00,0.00,27.868000000000002,59.10,2.00,1009.00
2,11,4,31-40,November,Common Area B,16.00,26.00,39.90,1441.30,0.00,0.00,0.00,25.419,158.50,2.29,1009.00
2,11,4,31-40,November,Common Area C,12.00,25.00,40.57,1827.14,0.00,0.00,0.00,27.124285714285715,216.71,3.86,1009.00
2,11,4,31-40,November,Dumyat,12.00,27.00,40.44,1145.33,0.00,0.00,0.00,25.65,113.11,2.20,1009.00
2,11,4,31-40,November,Kitchen,14.00,25.00,44.00,838.00,0.00,,,28.307,66.50,1.90,1009.00
2,11,4,31-40,November,Lomond,6.00,29.00,35.13,1379.25,0.00,0.00,0.00,26.223750000000003,148.75,5.63,1008.25
2,11,4,31-40,November,Macdui,6.00,29.00,40.00,1386.70,0.00,0.00,0.00,25.064000000000004,149.80,3.33,1009.00
2,11,4,31-40,November,Nevis,12.00,23.00,40.90,880.00,0.00,0.00,0.00,27.079,72.80,3.10,1009.00
2,11,4,31-40,November,Reception,6.00,23.00,41.70,937.40,0.00,,,28.662,81.60,3.00,1009.00
2,11,4,31-40,November,Suilven,8.00,28.00,36.89,1342.00,0.00,0.00,0.00,28.91222222222222,143.00,2.75,1009.00
2,11,4,41-50,November,Common Area A,8.00,30.00,38.80,797.40,0.00,0.00,0.00,27.883999999999997,60.40,2.80,1009.00
2,11,4,41-50,November,Common Area B,16.00,26.00,39.80,1459.60,0.00,0.00,0.00,25.413000000000004,161.40,2.67,1009.00
2,11,4,41-50,November,Common Area C,12.00,25.00,41.38,1833.38,0.00,0.00,0.00,27.21625,217.75,3.25,1009.00
2,11,4,41-50,November,Dumyat,12.00,27.00,40.50,1168.88,0.00,0.00,0.00,25.672500000000003,116.88,2.17,1009.00
2,11,4,41-50,November,Kitchen,14.00,25.00,44.30,845.00,0.00,,,28.284000000000002,67.30,2.57,1009.00
2,11,4,41-50,November,Lomond,6.00,29.00,35.22,1333.11,0.00,0.00,0.00,26.252222222222223,141.78,6.00,1008.56
