Day,Month,Hr,MinuteZone,MonthName,Space Name,Average of MaxOccupants,Average of Humid,Average of Noise,Average of CO2,Average of Presence,Average of Occupancy,Average of OccupancyPercentage,Average of Temperature_Ajusted,Average of VOC,Average of Lux,Average of Pressure
1,10,4,01-10,October,Common Area A,8.00,29.00,39.57,646.43,0.00,0.00,0.00,28.737142857142857,37.00,3.25,1002.00
1,10,4,01-10,October,Common Area B,16.00,27.00,39.83,811.00,0.00,0.00,0.00,25.430000000000003,62.00,2.25,1003.00
1,10,4,01-10,October,Common Area C,12.00,26.00,41.00,1839.00,0.00,0.00,0.00,27.475000000000005,219.00,3.33,1002.00
1,10,4,01-10,October,Dumyat,12.00,31.00,40.50,1444.33,0.00,0.00,0.00,24.77,158.67,2.50,1002.00
1,10,4,01-10,October,Kitchen,14.00,27.00,42.00,2896.00,0.00,,,29.285,380.00,8.00,1002.00
1,10,4,01-10,October,Lomond,6.00,27.00,35.33,1800.67,0.00,0.00,0.00,26.069999999999997,212.83,5.17,1002.00
1,10,4,01-10,October,Macdui,6.00,27.00,38.67,950.83,0.00,0.00,0.00,25.26833333333333,83.17,2.17,1002.00
1,10,4,01-10,October,Nevis,12.00,27.00,40.33,1214.83,0.00,0.00,0.00,26.12,123.50,9.50,1002.00
1,10,4,01-10,October,Reception,6.00,26.00,41.83,1050.33,0.00,,,28.371666666666666,98.67,13.83,1002.00
1,10,4,01-10,October,Suilven,8.00,26.00,37.00,1174.33,0.00,0.00,0.00,28.900000000000002,117.17,4.25,1003.00
1,10,4,11-20,October,Common Area A,8.00,29.00,38.57,661.14,0.00,0.00,0.00,28.622857142857146,39.57,2.40,1002.00
1,10,4,11-20,October,Common Area B,16.00,27.00,40.50,834.63,0.00,0.00,0.00,25.423750000000005,65.75,2.60,1003.00
1,10,4,11-20,October,Common Area C,12.00,26.00,41.38,1840.75,0.00,0.00,0.00,27.465000000000003,219.25,4.00,1002.00
1,10,4,11-20,October,Dumyat,12.00,31.00,41.00,1481.88,0.00,0.00,0.00,24.74,164.25,2.17,1002.00
1,10,4,11-20,October,Kitchen,14.00,27.00,42.00,2976.88,0.00,,,29.21875,392.25,8.63,1002.00
1,10,4,11-20,October,Lomond,6.00,27.00,35.38,1893.50,0.00,0.00,0.00,26.11,226.88,5.00,1002.00
1,10,4,11-20,October,Macdui,6.00,27.00,40.25,987.38,0.00,0.00,0.00,25.439999999999998,88.88,2.17,1002.00
1,10,4,11-20,October,Nevis,12.00,27.00,38.33,1250.00,0.00,0.00,0.00,26.161666666666665,129.00,9.33,1002.00
1,10,4,11-20,October,Reception,6.00,26.00,41.50,1067.63,0.00,,,28.410000000000004,101.38,13.50,1002.00
1,10,4,11-20,October,Suilven,8.00,26.00,36.50,1214.00,0.00,0.00,0.00,28.862499999999997,123.50,4.00,1003.00
1,10,4,21-30,October,Common Area A,8.00,29.00,39.70,669.00,0.00,0.00,0.00,28.6,40.40,1.70,1002.00
1,10,4,21-30,October,Common Area B,16.00,27.00,40.50,852.00,0.00,0.00,0.00,25.424,68.20,2.00,1003.00
1,10,4,21-30,October,Common Area C,12.00,26.00,40.90,1833.40,0.00,0.00,0.00,27.516999999999996,218.20,3.20,1002.00
1,10,4,21-30,October,Dumyat,12.00,31.00,41.40,1505.70,0.00,0.00,0.00,24.764,167.90,1.90,1002.00
1,10,4,21-30,October,Kitchen,14.00,27.00,42.20,3031.70,0.00,,,29.232,400.40,8.10,1002.00
1,10,4,21-30,October,Lomond,6.00,27.00,35.20,1966.30,0.00,0.00,0.00,26.149,238.20,4.90,1002.00
1,10,4,21-30,October,Macdui,6.00,27.00,38.50,1005.80,0.00,0.00,0.00,25.212,91.80,2.38,1002.00
1,10,4,21-30,October,Nevis,12.00,27.00,37.00,1271.63,0.00,0.00,0.00,26.1025,132.38,9.38,1002.00
1,10,4,21-30,October,Reception,6.00,26.00,43.11,1081.89,0.00,,,28.759999999999998,103.56,13.11,1002.00
1,10,4,21-30,October,Suilven,8.00,26.00,37.00,1246.00,0.00,0.00,0.00,28.877777777777776,128.56,3.71,1003.00
1,10,4,31-40,October,Common Area A,8.00,29.00,40.00,681.29,0.00,0.00,0.00,28.66857142857143,42.14,1.43,1002.00
1,10,4,31-40,October,Common Area B,16.00,27.00,40.57,867.14,0.00,0.00,0.00,25.41142857142857,70.57,2.00,1003.00
1,10,4,31-40,October,Common Area C,12.00,26.00,39.43,1825.57,0.00,0.00,0.00,27.50857142857143,216.71,3.57,1002.00
1,10,4,31-40,October,Dumyat,12.00,31.00,42.00,1527.14,0.00,0.00,0.00,24.807142857142857,171.14,2.40,1002.00
1,10,4,31-40,October,Kitchen,14.00,27.00,44.71,3098.86,0.00,,,29.264285714285716,411.00,8.00,1002.00
1,10,4,31-40,October,Lomond,6.00,27.00,35.14,2011.71,0.00,0.00,0.00,26.204285714285714,245.29,4.29,1002.00
1,10,4,31-40,October,Macdui,6.00,27.14,40.43,1028.00,0.00,0.00,0.00,25.302857142857142,95.14,2.60,1002.00
1,10,4,31-40,October,Nevis,12.00,27.00,37.43,1296.29,0.00,0.00,0.00,26.12142857142857,135.86,9.57,1002.00
1,10,4,31-40,October,Reception,6.00,25.83,43.83,1095.67,0.00,,,28.685,105.83,12.50,1002.00
1,10,4,31-40,October,Suilven,8.00,26.00,36.57,1273.14,0.00,0.00,0.00,28.91857142857143,132.57,3.20,1003.00
1,10,4,41-50,October,Common Area A,8.00,29.00,39.40,692.30,0.00,0.00,0.00,28.723000000000003,43.90,2.14,1002.00
1,10,4,41-50,October,Common Area B,16.00,27.00,40.50,883.80,0.00,0.00,0.00,25.424,73.60,2.25,1003.00
1,10,4,41-50,October,Common Area C,12.00,26.00,39.00,1818.50,0.00,0.00,0.00,27.405,215.30,3.60,1002.00
1,10,4,41-50,October,Dumyat,12.00,31.00,41.30,1554.00,0.00,0.00,0.00,24.814999999999998,175.20,2.25,1002.00
1,10,4,41-50,October,Kitchen,14.00,27.00,44.40,3159.50,0.00,,,29.276999999999997,420.00,8.50,1002.00
