Day,Month,Hr,MinuteZone,MonthName,Space Name,Average of MaxOccupants,Average of Humid,Average of Noise,Average of CO2,Average of Presence,Average of Occupancy,Average of OccupancyPercentage,Average of Temperature_Ajusted,Average of VOC,Average of Lux,Average of Pressure
1,9,4,01-10,September,Collaborative Area,20.00,28.00,44.00,1229.71,0.00,0.00,0.00,26.882857142857144,125.86,1.67,998.00
1,9,4,01-10,September,Common Area A,8.00,31.00,39.00,426.14,0.00,0.00,0.00,29.228571428571428,3.86,2.17,998.00
1,9,4,01-10,September,Common Area B,16.00,28.00,40.83,1083.50,0.00,0.00,0.00,26.298333333333336,103.50,2.00,998.00
1,9,4,01-10,September,Common Area C,12.00,27.00,39.43,968.43,0.00,0.00,0.00,27.937142857142856,86.14,3.14,998.00
1,9,4,01-10,September,Dumyat,12.00,29.00,41.86,611.43,0.00,0.00,0.00,26.844285714285718,31.86,3.00,998.00
1,9,4,01-10,September,Kitchen,14.00,26.00,46.29,1282.43,0.00,,,31.402857142857147,134.14,9.14,998.00
1,9,4,01-10,September,Lomond,6.00,29.00,35.43,661.14,0.00,0.00,0.00,26.958571428571428,39.43,6.57,997.86
1,9,4,01-10,September,Macdui,6.00,29.00,39.14,847.14,0.00,0.00,0.00,27.275714285714287,67.71,2.50,998.00
1,9,4,01-10,September,Nevis,12.00,26.00,38.57,692.86,0.00,0.00,0.00,28.01571428571429,44.14,8.43,998.00
1,9,4,01-10,September,Reception,6.00,25.29,43.43,1055.14,0.00,,,30.654285714285713,99.57,12.71,998.00
1,9,4,01-10,September,Suilven,8.00,28.00,37.00,728.00,0.00,0.00,0.00,29.827142857142853,49.43,4.00,998.00
1,9,4,11-20,September,Collaborative Area,20.00,28.00,44.17,1261.33,0.00,0.00,0.00,26.896666666666665,130.83,2.80,998.00
1,9,4,11-20,September,Common Area A,8.00,31.00,39.67,430.50,0.00,0.00,0.00,29.25333333333333,4.50,1.67,998.00
1,9,4,11-20,September,Common Area B,16.00,28.00,40.33,1111.50,0.00,0.00,0.00,26.311666666666667,107.83,2.67,998.00
1,9,4,11-20,September,Common Area C,12.00,27.00,39.67,984.50,0.00,0.00,0.00,27.866666666666664,88.33,3.83,998.00
1,9,4,11-20,September,Dumyat,12.00,29.00,40.83,625.00,0.00,0.00,0.00,26.92,34.00,3.00,998.00
1,9,4,11-20,September,Kitchen,14.00,26.00,45.00,1312.00,0.00,,,31.40666666666667,138.67,9.83,998.00
1,9,4,11-20,September,Lomond,6.00,29.17,35.33,680.83,0.00,0.00,0.00,26.94666666666667,42.33,6.33,998.00
1,9,4,11-20,September,Macdui,6.00,29.00,39.33,864.00,0.00,0.00,0.00,27.40833333333333,70.33,3.25,998.00
1,9,4,11-20,September,Nevis,12.00,26.00,38.17,710.50,0.00,0.00,0.00,28.065,47.00,8.50,998.00
1,9,4,11-20,September,Reception,6.00,25.00,42.33,1091.67,0.00,,,30.35166666666667,104.67,14.00,998.00
1,9,4,11-20,September,Suilven,8.00,28.00,36.33,750.17,0.00,0.00,0.00,29.875,52.83,4.25,998.00
1,9,4,21-30,September,Collaborative Area,20.00,28.00,44.00,1281.50,0.00,0.00,0.00,26.971666666666668,133.83,2.50,998.00
1,9,4,21-30,September,Common Area A,8.00,31.00,40.17,434.00,0.00,0.00,0.00,29.235,5.00,1.75,998.00
1,9,4,21-30,September,Common Area B,16.00,28.00,40.50,1139.50,0.00,0.00,0.00,26.285,112.00,3.67,998.00
1,9,4,21-30,September,Common Area C,12.00,27.00,38.33,995.33,0.00,0.00,0.00,27.83,90.33,3.67,998.00
1,9,4,21-30,September,Dumyat,12.00,29.00,42.00,642.67,0.00,0.00,0.00,26.883333333333336,36.83,2.00,998.00
1,9,4,21-30,September,Kitchen,14.00,26.00,45.83,1347.67,0.00,,,31.383333333333336,143.83,9.17,998.00
1,9,4,21-30,September,Lomond,6.00,29.50,35.50,697.00,0.00,0.00,0.00,26.911666666666665,44.83,6.67,998.00
1,9,4,21-30,September,Macdui,6.00,29.00,39.17,876.50,0.00,0.00,0.00,27.24833333333333,71.83,1.75,998.00
1,9,4,21-30,September,Nevis,12.00,26.00,38.00,727.83,0.00,0.00,0.00,28.081666666666663,49.50,8.50,998.00
1,9,4,21-30,September,Reception,6.00,25.00,43.17,1139.67,0.00,,,30.675,112.33,13.00,998.00
1,9,4,21-30,September,Suilven,8.00,28.00,37.33,769.50,0.00,0.00,0.00,29.794999999999998,55.50,2.00,998.00
1,9,4,31-40,September,Collaborative Area,20.00,28.00,44.00,1310.67,0.00,0.00,0.00,26.89,138.50,1.67,998.00
1,9,4,31-40,September,Common Area A,8.00,31.00,41.33,436.83,0.00,0.00,0.00,29.218333333333334,5.17,3.00,998.00
1,9,4,31-40,September,Common Area B,16.00,28.00,40.71,1168.86,0.00,0.00,0.00,26.27285714285714,116.71,2.00,998.00
1,9,4,31-40,September,Common Area C,12.00,27.00,38.29,1011.29,0.00,0.00,0.00,27.71857142857143,92.86,3.71,998.00
1,9,4,31-40,September,Dumyat,12.00,29.00,42.14,661.29,0.00,0.00,0.00,26.884285714285713,39.43,2.00,998.00
1,9,4,31-40,September,Kitchen,14.00,26.00,45.57,1388.00,0.00,,,31.398571428571433,150.29,8.14,998.00
1,9,4,31-40,September,Lomond,6.00,30.00,35.29,719.14,0.00,0.00,0.00,26.922857142857143,48.14,6.29,998.00
1,9,4,31-40,September,Macdui,6.00,29.00,38.86,899.43,0.00,0.00,0.00,27.265714285714285,75.86,2.14,998.00
1,9,4,31-40,September,Nevis,12.00,26.00,38.00,751.86,0.00,0.00,0.00,28.051428571428573,53.29,8.14,998.00
1,9,4,31-40,September,Reception,6.00,25.00,43.29,1174.00,0.00,,,30.74142857142857,117.57,13.57,998.00
1,9,4,31-40,September,Suilven,8.00,28.00,37.00,798.29,0.00,0.00,0.00,29.865714285714287,60.29,2.57,998.14
1,9,4,41-50,September,Collaborative Area,20.00,28.00,44.00,1342.33,0.00,0.00,0.00,26.893333333333334,143.00,1.67,998.00
1,9,4,41-50,September,Common Area A,8.00,31.00,40.57,442.14,0.00,0.00,0.00,29.337142857142855,6.00,1.60,998.00
1,9,4,41-50,September,Common Area B,16.00,28.00,40.50,1196.33,0.00,0.00,0.00,26.26,120.50,1.67,998.00
1,9,4,41-50,September,Common Area C,12.00,27.00,38.71,1026.29,0.00,0.00,0.00,27.580000000000002,95.00,3.71,998.00
1,9,4,41-50,September,Dumyat,12.00,29.00,42.43,679.86,0.00,0.00,0.00,27.05,42.00,2.20,998.00
1,9,4,41-50,September,Kitchen,14.00,26.00,45.86,1422.86,0.00,,,31.405714285714282,155.43,9.14,998.00
1,9,4,41-50,September,Lomond,6.00,30.00,35.43,744.29,0.00,0.00,0.00,26.95,51.86,6.43,998.00
1,9,4,41-50,September,Macdui,6.00,29.00,39.57,918.71,0.00,0.00,0.00,27.417142857142856,78.57,2.50,998.00
1,9,4,41-50,September,Nevis,12.00,26.00,38.00,777.14,0.00,0.00,0.00,28.04142857142858,56.86,8.29,998.00
